"inst_name,C,254",lat,lon,geoid,tractid,state,county
UNIVERSITY OF ARIZONA,32.232844,-110.959467,1400000US04019000501,04019000501,AZ,Pima County
UNIVERSITY OF ALABAMA AT BIRMINGHAM,33.50591,-86.799772,1400000US01073004502,01073004502,AL,Jefferson County
ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,33.423954,-111.940687,1400000US04013318700,04013318700,AZ,Maricopa County
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,37.775975,-122.392972,1400000US06075060703,06075060703,CA,San Francisco County
SOUTHEAST ARIZONA AREA HEALTH EDUCATION CENTER,31.340705,-110.960789,1400000US04023966401,04023966401,AZ,Santa Cruz County
ARKANSAS CANCER COALITION,34.759836,-92.340415,1400000US05119001501,05119001501,AR,Pulaski County
CAMPESINOS SIN FRONTERAS,32.596322,-114.712699,1400000US04027011505,04027011505,AZ,Yuma County
YUKON-KUSKOKWIM HEALTH CORPORATION,60.94,-164.62,1400000US02050000100,02050000100,AK,Bethel Census Area
MAYO CLINIC ARIZONA,33.589113,-111.79394,1400000US04013216858,04013216858,AZ,Maricopa County
TRANSLATIONAL GENOMICS RESEARCH INST,33.452982,-112.066306,1400000US04013113100,04013113100,AZ,Maricopa County
NORTHERN ARIZONA UNIVERSITY,35.192568,-111.656765,1400000US04005001000,04005001000,AZ,Coconino County
UNIVERSITY OF SOUTH ALABAMA,30.688966,-88.189832,1400000US01097003606,01097003606,AL,Mobile County
UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,36.069922,-94.176965,1400000US05143011301,05143011301,AR,Washington County
PHOENIX CHILDREN'S HOSPITAL,33.478892,-112.040426,1400000US04013111602,04013111602,AZ,Maricopa County
UNIVERSITY OF ALABAMA IN TUSCALOOSA,33.215665,-87.53919,1400000US01125011200,01125011200,AL,Tuscaloosa County
UNIV OF ARKANSAS FOR MED SCIS,34.749005,-92.320097,1400000US05119980200,05119980200,AR,Pulaski County
ENDOTAT BIOTECHNOLOGIES LLC,33.693798,-111.999557,1400000US04013615001,04013615001,AZ,Maricopa County
AUBURN UNIVERSITY AT AUBURN,32.602139,-85.508496,1400000US01081040603,01081040603,AL,Lee County
"CELLIA SCIENCE, INC.",36.042291,-94.16811,1400000US05143011105,05143011105,AR,Washington County
ARKANSAS STATE UNIVERSITY,35.849336,-90.679349,1400000US05031000602,05031000602,AR,Craighead County
ARKANSAS CHILDREN'S HOSPITAL RES INST,34.743407,-92.291552,1400000US05119004500,05119004500,AR,Pulaski County
TUSKEGEE UNIVERSITY,32.428345,-85.709321,1400000US01087231700,01087231700,AL,Macon County
VITALANT,33.473853,-111.946795,1400000US04013217400,04013217400,AZ,Maricopa County
UNIVERSITY OF ALASKA FAIRBANKS,64.857437,-147.800301,1400000US02090000600,02090000600,AK,Fairbanks North Star Borough
"FAKNOSTICS, LLC",33.503994,-112.018614,1400000US04013108400,04013108400,AZ,Maricopa County
"ENDOMIMETICS, LLC",33.515462,-86.821045,1400000US01073002702,01073002702,AL,Jefferson County
SEQUITUR HEALTH CORP.,33.59544,-111.895786,1400000US04013216816,04013216816,AZ,Maricopa County
"BIOSENSING INSTRUMENT, INC.",33.357822,-111.926185,1400000US04013319905,04013319905,AZ,Maricopa County
"EVIMERO, LLC",33.226799,-87.531521,1400000US01125010406,01125010406,AL,Tuscaloosa County
"CALADAN THERAPEUTICS, INC.",33.446751,-86.798955,1400000US01073012921,01073012921,AL,Jefferson County
"GOALISTICS, LLC",33.336506,-111.938809,1400000US04013319910,04013319910,AZ,Maricopa County
"PRECISION EPIGENOMICS, INC.",31.940621,-110.907512,1400000US04019004127,04019004127,AZ,Pima County
HUDSON-ALPHA INSTITUTE FOR BIOTECHNOLOGY,34.72523,-86.691036,1400000US01089001403,01089001403,AL,Madison County
SOUTHCENTRAL FOUNDATION,61.182148,-149.795959,1400000US02020001602,02020001602,AK,Anchorage Municipality
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,61.183064,-149.806384,1400000US02020001602,02020001602,AK,Anchorage Municipality
MIDWESTERN UNIVERSITY (GLENDALE AZ),33.663405,-112.183604,1400000US04013616000,04013616000,AZ,Maricopa County
"BMSEED, LLC",33.377779,-111.914695,1400000US04013319903,04013319903,AZ,Maricopa County
"ALVEOLUS BIO, INC.",33.511775,-86.812587,1400000US01073002701,01073002701,AL,Jefferson County
NEPHROPATHOLOGY ASSOCIATES,34.740024,-92.396998,1400000US05119002407,05119002407,AR,Pulaski County
"CERIA THERAPEUTICS, INC.",40.043567,-105.293313,1400000US08013012104,08013012104,CO,Boulder County
"INTER TRIBAL COUNCIL OF ARIZONA, INC.",33.472611,-112.074768,1400000US04013111800,04013111800,AZ,Maricopa County
"FIBRONOX, L.L.C.",32.214149,-110.954751,1400000US04019000800,04019000800,AZ,Pima County
"QSCINT IMAGING SOLUTIONS, LLC",32.393673,-111.001394,1400000US04019004633,04019004633,AZ,Pima County
RELIANT GLYCOSCIENCES LLC,33.441958,-86.669071,1400000US01117030221,01117030221,AL,Shelby County
