state,state_code,FIPS,county,pop_2024,terminated_econ_loss,IDC_econ_loss
Alabama,AL,1001,Autauga County,61464,144772.4138,437396.6022
Alabama,AL,1003,Baldwin County,261608,125437.0374,954090.1942
Alabama,AL,1005,Barbour County,24358,29457.26102,109573.4439
Alabama,AL,1007,Bibb County,22258,57722.9206,204501.7517
Alabama,AL,1009,Blount County,60163,998610.4613,2863563.142
Alabama,AL,1011,Bullock County,9901,7028.757897,77401.37367
Alabama,AL,1013,Butler County,18256,24576.69528,69042.00158
Alabama,AL,1015,Calhoun County,116427,438452.4818,1298942.375
Alabama,AL,1017,Chambers County,33813,97874.20129,461927.2839
Alabama,AL,1019,Cherokee County,26138,67729.17982,201018.7671
Alabama,AL,1021,Chilton County,47262,301199.875,878197.0498
Alabama,AL,1023,Choctaw County,12052,11842.73037,50626.12242
Alabama,AL,1025,Clarke County,22142,12515.08043,64125.64985
Alabama,AL,1027,Clay County,14239,27328.60455,100920.8863
Alabama,AL,1029,Cleburne County,15905,16659.60967,60329.00761
Alabama,AL,1031,Coffee County,56358,56689.24095,155481.26
Alabama,AL,1033,Colbert County,58785,88945.06324,532757.323
Alabama,AL,1035,Conecuh County,11109,4998.568502,36409.94896
Alabama,AL,1037,Coosa County,10291,30740.8286,106227.1462
Alabama,AL,1039,Covington County,37748,34226.9003,95710.18708
Alabama,AL,1041,Crenshaw County,13114,6339.761908,30456.28069
Alabama,AL,1043,Cullman County,92604,693997.6478,2065844.176
Alabama,AL,1045,Dale County,50067,49767.80198,172774.1335
Alabama,AL,1047,Dallas County,35545,85724.02215,261516.2293
Alabama,AL,1049,DeKalb County,73122,73253.72729,259838.1127
Alabama,AL,1051,Elmore County,91042,211380.4617,789453.631
Alabama,AL,1053,Escambia County,36630,31149.2501,160289.9396
Alabama,AL,1055,Etowah County,103207,382640.1238,1156357.158
Alabama,AL,1057,Fayette County,15863,52099.89207,190473.2509
Alabama,AL,1059,Franklin County,31874,54607.29622,176969.2432
Alabama,AL,1061,Geneva County,27259,28390.24064,85090.79657
Alabama,AL,1063,Greene County,7127,21430.26733,84701.00318
Alabama,AL,1065,Hale County,15116,32743.70336,170501.4579
Alabama,AL,1067,Henry County,18141,12772.98503,36048.23649
Alabama,AL,1069,Houston County,109366,87913.59725,265580.6504
Alabama,AL,1071,Jackson County,53780,44412.48404,183583.2059
Alabama,AL,1073,Jefferson County,664744,23280311.57,66633106.83
Alabama,AL,1075,Lamar County,13543,29006.3497,99037.50611
Alabama,AL,1077,Lauderdale County,97502,72974.74311,311848.7326
Alabama,AL,1079,Lawrence County,33567,58496.98675,230220.4202
Alabama,AL,1081,Lee County,187847,473860.4277,3677064.201
Alabama,AL,1083,Limestone County,118942,138816.3422,740819.2473
Alabama,AL,1085,Lowndes County,9485,13157.15217,53155.62087
Alabama,AL,1087,Macon County,18159,47817.67849,1183234.38
Alabama,AL,1089,Madison County,423355,568733.1432,3683208.661
Alabama,AL,1091,Marengo County,18512,36309.83475,110686.7518
Alabama,AL,1093,Marion County,29323,64140.78424,202217.5795
Alabama,AL,1095,Marshall County,102156,181773.4061,681515.7375
Alabama,AL,1097,Mobile County,412339,279912.6142,3825448.851
Alabama,AL,1099,Monroe County,19057,12665.23496,56491.89064
Alabama,AL,1101,Montgomery County,225894,699115.8191,1900469.878
Alabama,AL,1103,Morgan County,126084,168163.711,770734.6544
Alabama,AL,1105,Perry County,7719,14197.01414,45546.03777
Alabama,AL,1107,Pickens County,18508,47259.82013,214504.5533
Alabama,AL,1109,Pike County,33124,33780.77063,95387.22154
Alabama,AL,1111,Randolph County,23067,30795.22626,128549.2824
Alabama,AL,1113,Russell County,58837,57728.27776,294606.8777
Alabama,AL,1115,St. Clair County,96927,1820146.273,5216608.532
Alabama,AL,1117,Shelby County,235969,5202770.522,14993043.07
Alabama,AL,1119,Sumter County,11607,7892.240024,39405.08994
Alabama,AL,1121,Talladega County,81375,509857.341,1538953.172
Alabama,AL,1123,Tallapoosa County,40699,148251.6396,579890.2197
Alabama,AL,1125,Tuscaloosa County,241212,900939.9703,4925304.338
Alabama,AL,1127,Walker County,65260,803096.2344,2311965.609
Alabama,AL,1129,Washington County,15018,9634.84528,43870.65768
Alabama,AL,1131,Wilcox County,9865,12842.02402,44459.3801
Alabama,AL,1133,Winston County,23869,89226.14428,279738.9292
Alaska,AK,2013,Aleutians East Borough,3632,904.2451923,925.8427197
Alaska,AK,2016,Aleutians West Census Area,5424,1189.563905,2621.638292
Alaska,AK,2020,Anchorage Municipality,289600,111464.8643,560698.7286
Alaska,AK,2050,Bethel Census Area,18237,65.52737495,1408.064125
Alaska,AK,2060,Bristol Bay Borough,884,2.849016302,17.74456422
Alaska,AK,2063,Chugach Census Area,6604,4351.202924,17812.12961
Alaska,AK,2066,Copper River Census Area,2631,34.18819562,508.4294624
Alaska,AK,2068,Denali Borough,1621,2094.404497,8134.666969
Alaska,AK,2070,Dillingham Census Area,4642,39.88622823,351.1098996
Alaska,AK,2090,Fairbanks North Star Borough,94951,1025039.688,3963293.275
Alaska,AK,2100,Haines Borough,2104,0,833.714733
Alaska,AK,2105,Hoonah-Angoon Census Area,2312,214.9134942,9172.427427
Alaska,AK,2110,Juneau City and Borough,31572,1306.213886,20818.7367
Alaska,AK,2122,Kenai Peninsula Borough,61259,20879.98937,108943.3291
Alaska,AK,2130,Ketchikan Gateway Borough,13677,154.037157,9228.927811
Alaska,AK,2150,Kodiak Island Borough,12654,97.62257457,3576.457631
Alaska,AK,2158,Kusilvak Census Area,7946,51.28229344,329.2936989
Alaska,AK,2164,Lake and Peninsula Borough,1315,48.43327713,498.3100722
Alaska,AK,2170,Matanuska-Susitna Borough,117613,44452.91665,205541.255
Alaska,AK,2180,Nome Census Area,9836,0,681.3106021
